,time,y_true,y_pred
0,2011-05-11 07:19:47,6.0,3.5419981
1,2011-05-11 07:20:08,7.0,3.5419981
2,2011-05-11 07:20:17,7.0,3.5419981
3,2011-05-11 07:20:20,6.0,3.5419981
4,2011-05-11 07:20:24,7.0,3.5419981
5,2011-05-11 07:20:27,7.0,3.5419981
6,2011-05-11 07:20:31,7.0,3.5419981
7,2011-05-11 07:20:34,7.0,3.5419981
8,2011-05-11 07:20:38,6.0,3.5419981
9,2011-05-11 07:20:41,7.0,3.5419981
10,2011-05-11 07:20:45,7.0,3.5419981
11,2011-05-11 07:20:48,7.0,3.5419981
12,2011-05-11 07:20:51,6.0,3.5419981
13,2011-05-11 07:20:55,7.0,3.5419981
14,2011-05-11 07:20:58,7.0,3.5419981
15,2011-05-11 07:21:02,7.0,3.5419981
16,2011-05-11 07:21:05,6.0,3.5419981
17,2011-05-11 07:21:09,7.0,3.5419981
18,2011-05-11 07:21:18,7.0,3.5419981
19,2011-05-11 07:21:21,7.0,3.5419981
20,2011-05-11 07:21:24,7.0,3.5419981
21,2011-05-11 07:21:28,7.0,3.5419981
22,2011-05-11 07:21:31,7.0,3.5419981
23,2011-05-11 07:21:35,7.0,3.5419981
24,2011-05-11 07:21:38,7.0,3.5419981
25,2011-05-11 07:21:42,7.0,3.5419981
26,2011-05-11 07:21:45,7.0,3.5419981
27,2011-05-11 07:21:49,7.0,3.5419981
28,2011-05-11 07:21:52,7.0,3.5419981
29,2011-05-11 07:21:56,7.0,3.5419981
30,2011-05-11 07:21:59,7.0,3.5419981
31,2011-05-11 07:22:02,7.0,3.5419981
32,2011-05-11 07:22:06,6.0,3.5419981
33,2011-05-11 07:22:09,7.0,3.5419981
34,2011-05-11 07:22:18,7.0,3.5419981
35,2011-05-11 07:22:22,7.0,3.5419981
36,2011-05-11 07:22:25,7.0,3.5419981
37,2011-05-11 07:22:28,7.0,3.5419981
38,2011-05-11 07:22:32,7.0,3.5419981
39,2011-05-11 07:22:35,7.0,3.5419981
40,2011-05-11 07:22:39,7.0,3.5419981
41,2011-05-11 07:22:42,6.0,3.5419981
42,2011-05-11 07:22:46,7.0,3.5419981
43,2011-05-11 07:22:49,7.0,3.5419981
44,2011-05-11 07:22:53,7.0,3.5419981
45,2011-05-11 07:22:56,6.0,3.5419981
46,2011-05-11 07:22:59,7.0,3.5419981
47,2011-05-11 07:23:03,7.0,3.5419981
48,2011-05-11 07:23:06,7.0,3.5419981
49,2011-05-11 07:23:10,7.0,3.5419981
50,2011-05-11 07:23:18,7.0,3.5419981
51,2011-05-11 07:23:22,7.0,3.5419981
52,2011-05-11 07:23:25,6.0,3.5419981
53,2011-05-11 07:23:29,7.0,3.5419981
54,2011-05-11 07:23:32,7.0,3.5419981
55,2011-05-11 07:23:36,7.0,3.5419981
56,2011-05-11 07:23:39,7.0,3.5419981
57,2011-05-11 07:23:43,7.0,3.5419981
58,2011-05-11 07:23:46,6.0,3.5419981
59,2011-05-11 07:23:49,7.0,3.5419981
60,2011-05-11 07:23:53,6.0,3.5419981
61,2011-05-11 07:23:56,7.0,3.5419981
62,2011-05-11 07:24:00,7.0,3.5419981
63,2011-05-11 07:24:03,7.0,3.5419981
64,2011-05-11 07:24:07,7.0,3.5419981
65,2011-05-11 07:24:10,7.0,3.5419981
66,2011-05-11 07:24:19,7.0,3.5419981
67,2011-05-11 07:24:22,7.0,3.5419981
68,2011-05-11 07:24:26,7.0,3.5419981
69,2011-05-11 07:24:29,7.0,3.5419981
70,2011-05-11 07:24:33,6.0,3.5419981
71,2011-05-11 07:24:36,7.0,3.5419981
72,2011-05-11 07:24:40,7.0,3.5419981
73,2011-05-11 07:24:43,7.0,3.5419981
74,2011-05-11 07:24:47,7.0,3.5419981
75,2011-05-11 07:24:50,7.0,3.5419981
76,2011-05-11 07:24:54,7.0,3.5419981
77,2011-05-11 07:24:57,7.0,3.5419981
78,2011-05-11 07:25:01,7.0,3.5419981
79,2011-05-11 07:25:04,7.0,3.5419981
80,2011-05-11 07:25:07,7.0,3.5419981
81,2011-05-11 07:25:16,7.0,3.5419981
82,2011-05-11 07:25:20,7.0,3.5419981
83,2011-05-11 07:25:23,7.0,3.5419981
84,2011-05-11 07:25:27,7.0,3.5419981
